"Issue Type","Summary","Description","Epic Name","Epic Link","Story Points","Status","Priority","Labels","Acceptance Criteria"
"Story","Real LLM call for LEXI parsing (replace regex)","As a Compliance Lead I want true policy parsing for nuanced clauses.","","Policies & Workflows","13","To Do","High","policies lexi v3","- LLM call (GPT-4o) with structured output (JSON schema)
- Returns: workflow / category / severity / trigger expression / action
- Fallback to regex when LLM unavailable
- Logs raw input + parsed output for audit"
"Story","Conflict detection: rules with overlapping triggers","As a Compliance Lead I want flagging when two rules might both fire so I can resolve precedence.","","Policies & Workflows","8","To Do","Medium","policies v3","- Static analysis on trigger expressions
- Surface conflicts in a side panel
- Allow override / merge / disable one"
"Epic","Agents & NotifyPanel","6 agents (LEXI/JARVIS/ORACLE/CASE/RIPLEY/TRON) with pipelines + roster + live activity; 9 NotifyPanel builders.","Agents & NotifyPanel","",,"In Progress","High","agents notify ripley",""
"Story","Define 6 agents with role + acronym + color + capabilities","As an Agent Manager I want each agent to have a clear named role so I know who does what.","","Agents & NotifyPanel","3","Done","High","agents","- 6 agents: LEXI (policy parser) / JARVIS (timesheet validator) / ORACLE (regulation watcher) / CASE (data integrity) / RIPLEY (email drafter) / TRON (ops broadcaster)
- Each has acronym + role + operational copy + 4-6 capabilities
- Per-agent color"
"Story","Agents page header with operational copy + status pill","As an Agent Manager I want grounded copy not marketing fluff on this page.","","Agents & NotifyPanel","2","Done","High","agents copy","- Title 'Agents'
- Subtitle: 1-paragraph operational description
- Right side: '6 agents · all active' pill with green dot"
"Story","Impact strip with 4 KPI tiles","As an Agent Manager I want a quick read on agent performance.","","Agents & NotifyPanel","2","Done","Medium","agents","- Auto-resolved today (318)
- Waiting on review (47)
- First-pass accuracy (94.1%)
- Est. ops cost saved (₹12L)"
"Story","Three named pipeline cards","As an Agent Manager I want to see how agents collaborate so I trust the system.","","Agents & NotifyPanel","5","Done","High","agents pipelines","- 3 pipelines: Timesheet lifecycle / Regulation to client alert / Payroll cycle & broadcast
- Each card: title + volume tag + summary line
- Horizontal flow: source → agent steps → sink
- Outcome line at bottom
- Each agent step is a clickable button"
"Story","6-agent roster cards in pipeline order","As an Agent Manager I want roster cards ordered by pipeline position not alphabetical.","","Agents & NotifyPanel","3","Done","Medium","agents roster","- Order: LEXI / JARVIS / ORACLE / CASE / RIPLEY / TRON
- Each card: avatar / name / role / Active dot / today volume / headline metric / in:out chips / 'works in' surface"
"Story","Live activity feed with 1-min tick","As an Agent Manager I want to see recent agent actions so I trust the system is running.","","Agents & NotifyPanel","5","Done","Medium","agents activity","- 15 seeded rows reverse chrono
- Each row: agent avatar + summary + status icon + agent name + age
- Tick state updates every 60s; ages re-render without reshuffling"
"Story","Agent detail drawer (right slide)","As an Agent Manager I want to read full agent context on demand.","","Agents & NotifyPanel","5","Done","Medium","agents drawer","- 440px right-slide on agent click
- Shows: acronym / operational copy / today + metric tiles / capabilities / hand-off chips / 'surfaces in' footer
- Hand-off chips clickable to switch agent"
"Story","Principles footer (3 lines)","As an Agent Manager I want the agent design principles visible so I can articulate them to clients.","","Agents & NotifyPanel","1","Done","Low","agents copy","- Pink card with 3 principles
- 'One agent, one job' / 'Hand-offs are visible' / 'Humans review, don't do'"
"Story","NotifyPanel component (bottom-right slide-in)","As an Agent Manager I want a consistent email composer for all RIPLEY drafts.","","Agents & NotifyPanel","5","Done","High","notify ripley","- Fixed bottom-4 right-4, 440px wide
- Pink-50 header with kind label + close
- Form fields: To / CC / Subject / Body
- Source link footer when sourceUrl provided
- Send simulates 500ms then ✓ Sent then auto-close"
"Story","9 NotifyPanel builders covering all flows","As a developer I want all email flows centralised in one component with named builders.","","Agents & NotifyPanel","8","Done","High","notify ripley","- compliance / client-compliance / timesheet-flag / timesheet-reject / timesheet-approve / timesheet-team / document-request / onboarding-issue / payroll-issue
- Each returns NotifyContext with kind / to / cc / subject / body
- Per-kind label + To/CC defaults"
"Story","Subject grammar standardisation","As a Compliance Lead I want subject lines that scan in inboxes.","","Agents & NotifyPanel","3","Done","High","notify subjects ripley","- Timesheet emails: '<prefix> — <code>: <main issue>[ (N issues)] · <period>'
- Compliance: 'Action required: <title>'
- Client compliance: '<client> · action required: <title>'
- Onboarding: 'Onboarding blocker — <candidate> · <type>'
- Document request: 'Document update required — <docType>'
- Payroll: 'Payroll review — <client> · <cycle>'"
"Story","Ban AI mentions from employee-facing email bodies","As an Agent Manager I want emails to feel ops-written.","","Agents & NotifyPanel","2","Done","High","notify ripley copy","- No 'JARVIS confidence' line
- No 'Drafted by RIPLEY' inline
- No 'AI agent says' phrasing
- Footnote only: '— This message was written using RIPLEY.'"
"Story","Real LLM call replaces template builders","As an Agent Manager I want truly contextual emails not templated text.","","Agents & NotifyPanel","13","To Do","High","notify ripley v3","- LLM call from each builder
- Structured-output JSON schema
- Fallback to template when LLM unavailable
- Per-client tone & signature variation"
"Story","Real send via Postmark / SES / Gmail API","As an Agent Manager I want Send button to actually send instead of simulate.","","Agents & NotifyPanel","8","To Do","High","notify ripley backend v3","- Backend route: POST /api/notify/send
- Provider config: Postmark / AWS SES / Gmail API
- Delivery audit log per sent email
- Error toast on send failure"
"Story","Per-agent settings (pause / threshold / model)","As an Operations Lead I want to tune individual agents without code changes.","","Agents & NotifyPanel","8","To Do","Medium","agents settings v3","- Settings page section per agent
- JARVIS auto-approve threshold slider (default 95%)
- Pause toggle per agent
- Model picker (GPT-4o / Claude 4.x)"
"Story","Real activity feed via SSE","As an Agent Manager I want real-time agent activity not seeded mock.","","Agents & NotifyPanel","8","To Do","Medium","agents activity backend v3","- SSE stream of agent events
- Feed prepends new rows
- Connection auto-reconnects
- 200-row buffer in client memory"
"Epic","Home Dashboard","CFO-anchored KPIs + 4 charts; everything reconciles to ₹60Cr ARR / ₹500L/mo / 3.6% ops ratio.","Home Dashboard","",,"In Progress","High","home dashboard",""
"Story","CFO baseline constants centralised","As a developer I want a single source of truth for ops/revenue numbers so charts can't disagree.","","Home Dashboard","2","Done","High","home dashboard cfo","- Constants in app/page.tsx top: ANNUAL_NET_REVENUE / MONTHLY_NET_REVENUE / APR_OPS_COST / APR_OPS_RATIO / APR_OPS_RATIO_WITHOUT_AI / APR_AI_SAVINGS
- All charts and KPIs derive from these"
"Story","Greeting block with logged-in user + dynamic counts","As an Agent Manager I want a personal greeting and a quick read on the day.","","Home Dashboard","2","Done","Medium","home dashboard","- 'Good morning, <FirstName>'
- Subtitle: '<Month YYYY> · X clients · Y ops cases auto-resolved'
- Numbers from CFO baseline + clients.length"
"Story","4 KPI tiles using stat-card pattern","As an Agent Manager I want at-a-glance KPI tiles.","","Home Dashboard","2","Done","High","home dashboard","- Tiles: Monthly Ops Cost / Cases resolved per FTE / Auto-Approval Rate / SLA Adherence
- Each: icon + value + delta line
- pink-50 bg + pink-200 border + pink value"
"Story","Chart 1: Ops Cost % of Net Revenue (with vs without AI)","As an Operations Lead I want to visualise the agent system's contribution to margin.","","Home Dashboard","5","Done","High","home dashboard charts","- Area chart with 2 layers: withoutAI (lavender dashed) + withAI (accent solid)
- Y-axis [2,7]
- 6-month trend
- Subtitle calls out 1-4% band + ₹12L/mo savings"
"Story","Chart 2: Ops cost breakup donut","As an Operations Lead I want to see where ops cost goes.","","Home Dashboard","3","Done","Medium","home dashboard charts","- 9 sub-functions
- Donut + per-row legend (max-h-200, scrollable)
- Tooltip: % + ₹"
"Story","Chart 3: Ops Cost by Client custom bar list","As an Operations Lead I want per-client efficiency at a glance.","","Home Dashboard","5","Done","High","home dashboard charts","- Top 8 clients
- Per row: name / bar / cost / efficiency %
- Efficiency thresholds: <3.3% green / 3.3-4.0% amber / >4.0% red
- Threshold legend in footer"
"Story","Chart 4: Resource Utilization (cases/FTE bars + headcount)","As an Operations Lead I want to see the per-FTE productivity trend.","","Home Dashboard","3","Done","Medium","home dashboard charts","- Bar chart: cases per FTE per month
- Footer cells show headcount per month
- Right-side meta: 'Apr headcount · 4 FTE'"
"Story","Month-aware data refresh","As an Operations Lead I want the home page to roll forward each month automatically.","","Home Dashboard","8","To Do","Medium","home dashboard backend v3","- Backend KPI store
- Frontend reads current month constants from API
- Charts trail last 6 months
- Caches client-side with stale-while-revalidate"
"Story","Drill-down: Chart 2 slice click → /timesheets filtered","As an Operations Lead I want to investigate a sub-function spike.","","Home Dashboard","3","To Do","Low","home dashboard v3","- Donut slice click navigates to relevant inbox section pre-filtered
- E.g. Onboarding slice → /timesheets?tab=onboarding"
"Epic","Settings & Admin","6 sub-sections: Appearance / Notifications / Account / Integrations / Security / System.","Settings & Admin","",,"In Progress","Medium","settings",""
"Story","6 settings sub-sections with sidebar nav","As an Agent Manager I want settings organised so I find what I need.","","Settings & Admin","3","Done","Medium","settings","- Sidebar tabs on sm+, horizontal scroll on mobile
- Sections: Appearance / Notifications / Account / Integrations / Security / System
- Active state with accent"
"Story","Theme picker (Light + Dark) with preview cards","As an Agent Manager I want to switch theme and see preview before committing.","","Settings & Admin","3","Done","Medium","settings appearance","- 2 cards side by side
- Each: mini preview + label + subtitle + description
- Selected: 2px accent border + check
- Persists in localStorage"
"Story","Display toggles: compact rows / animations / AI confidence","As an Agent Manager I want UI density and motion preferences.","","Settings & Admin","2","Done","Low","settings appearance","- 3 toggles
- Local state only in v2
- v3 persists per user"
"Story","Notifications: email / push / SLA toggles","As an Agent Manager I want to control my notification volume.","","Settings & Admin","2","Done","Low","settings notifications","- Email: flagged TS / payroll approvals / daily digest
- Push: urgent / approvals / SLA breach
- All toggles local state"
"Story","Profile section: name / email / role / timezone","As an Agent Manager I want to manage my profile.","","Settings & Admin","2","Done","Medium","settings account","- Default: Siddharth Kirtikar / siddharth.k@buzzworks.in / Ops Agent / IST
- Role dropdown: Ops Agent (default) / Ops Manager / Payroll Lead / Analyst
- Save profile button (no-op v2)"
"Story","Connected portals card (Fieldglass + BeeLine)","As an Operations Lead I want to see portal connection status.","","Settings & Admin","3","Done","Medium","settings integrations","- Card per portal: status / last sync / next sync / total synced this month
- Sync now / Configure / Disconnect buttons
- Email ingestion card with Buzzworks ingestion mailbox"
"Story","Webhooks config (endpoint + secret + event toggles)","As an Operations Lead I want to wire downstream systems via webhooks.","","Settings & Admin","3","Done","Low","settings integrations","- Endpoint URL field
- Secret token (masked)
- Event toggles: timesheet.approved / payroll.released / compliance.flagged"
"Story","Security: sessions / 2FA / API tokens","As an Operations Lead I want session and access control.","","Settings & Admin","3","Done","Low","settings security","- Current session info (read-only)
- Sign out all sessions button
- 2FA toggle (off; v3 enforces)
- API tokens list + Generate new token button"
"Story","System: build info + operational toggles","As an Operations Lead I want product version and global toggles visible.","","Settings & Admin","2","Done","Low","settings system","- Version / last deploy / region / uptime
- Auto-archive processed batches toggle
- Show debug overlays / Enable experimental features toggles"
"Story","Remove Danger Zone panel from System","As an Operations Lead I don't want destructive ops in self-serve settings.","","Settings & Admin","1","Done","Medium","settings system","- Danger Zone panel (Purge test data / Reset agent learning) removed
- Destructive ops live in admin tooling only"
"Story","Backend persistence for all toggles","As an Agent Manager I want my settings to survive logout.","","Settings & Admin","8","To Do","Medium","settings backend v3","- Per-user settings store
- Sync on toggle change
- Last-write-wins; no conflict UI"
"Epic","Design System & Cross-cutting","Type scale / palette / shell pattern / shared components / copy conventions.","Design System & Cross-cutting","",,"In Progress","Medium","design-system",""
"Story","Collapse 22 font sizes to 7-step ladder","As a developer I want a single defensible type scale across the product.","","Design System & Cross-cutting","5","Done","High","design-system type","- 7 sizes: 11/12/14/16/20/24/28
- Mechanical sweep across .tsx files
- 158 small sizes (8/9/10) → 11
- 124 mid sizes (13/15) → 14
- 17/18/22/26/32 collapsed appropriately
- Documented in app/globals.css as .t-* utilities"
"Story","Unify page header pattern across all sections","As an Agent Manager I want section navigation to feel consistent.","","Design System & Cross-cutting","3","Done","High","design-system shell","- Standard: px-6 lg:px-8 py-5 / h1 text-xl font-semibold / subtitle text-[13px] mt-0.5
- Applied to: Clients / Employees / Integrations / Settings / Payroll
- Drop leading icons (sidebar already signals section)"
"Story","Pin search to right (ml-auto) on all list pages","As an Agent Manager I want consistent filter-bar layout.","","Design System & Cross-cutting","2","Done","Medium","design-system shell","- Search ml-auto on Inbox Timesheets / Employees / Clients
- Sort selector follows search
- Matches Compliance Inbox baseline"
"Story","Pink palette + design tokens in globals.css","As a developer I want CSS variables for all colors so I never inline hex.","","Design System & Cross-cutting","3","Done","High","design-system color","- --pink-50..700 + accent / accent-dim
- --bg / --surface / --surface-2 / --surface-hover
- --border / --border-strong
- --text-1/2/3
- --warn / --warn-bg / --warn-border
- --danger reserved for hard fails"
"Story","FilterDropdown component (multi-select)","As a developer I want a single shared filter component.","","Design System & Cross-cutting","5","Done","Medium","design-system component","- Closed: pill button + label + active count badge
- Open: portal-positioned panel with checkboxes + Clear all
- Outside-click closes
- Used across 6+ list pages (currently duplicated; v3 consolidates)"
"Story","Extract FilterDropdown to single shared component","As a developer I want one source of truth for FilterDropdown.","","Design System & Cross-cutting","3","To Do","Medium","design-system component v3","- Move to components/ui/FilterDropdown.tsx
- Replace 5 duplicate copies
- Add unit tests
- Storybook entry"
"Story","Stats strip + Bulk action bar shared patterns","As an Agent Manager I want consistent strip styling across inboxes.","","Design System & Cross-cutting","2","Done","Medium","design-system shell","- Stats strip: bg / text-3 caption-style / numbers in t-body weight
- Bulk action bar: pink-50 bg / 'N selected' label / primary + ghost buttons
- Same padding (px-6 lg:px-8 py-2.5) on both"
"Story","Brand rebrand: Agent Dashboard everywhere","As an Agent Manager I want consistent product naming.","","Design System & Cross-cutting","2","Done","High","design-system brand","- Login title: 'Agent Dashboard' (not OpsDesk)
- Sidebar / BottomNav: 'Agent Dashboard'
- Settings footer: 'Agent Dashboard v2.1.0 · JARVIS v2.1'
- Layout <title>: 'Agent Dashboard — Agent Manager Console · Buzzworks'"
"Story","Login copy: For Buzzworks Agent Managers","As a new joiner I want the login page to position the product clearly.","","Design System & Cross-cutting","1","Done","Low","design-system brand login","- Subtitle: 'For Buzzworks Agent Managers'
- Access line: 'Access restricted to Buzzworks Agent Managers'
- Demo email: agentic@buzzworks.com"
"Story","Add accessibility audit (focus rings / ARIA / contrast)","As an Agent Manager I want keyboard nav and screen reader support.","","Design System & Cross-cutting","13","To Do","Medium","design-system a11y v3","- Focus rings on all interactive elements
- ARIA labels on icon-only buttons
- Contrast audit (WCAG AA min)
- Reduced-motion support
- Screen-reader walkthrough"
"Story","Internationalisation (Hindi minimum)","As an Agent Manager I want to use the product in Hindi for blue-collar segment comms.","","Design System & Cross-cutting","13","To Do","Low","design-system i18n v3","- All UI strings via i18n keys
- Locale switcher in Settings
- Language: en-IN / hi-IN (minimum)
- Subject grammars localised"
"Story","Print stylesheet for compliance article detail","As a Compliance Lead I want to PDF a regulation for sharing.","","Design System & Cross-cutting","5","To Do","Low","design-system v3","- @media print rules
- Hide sidebar / nav / interactive elements
- Article body prints cleanly with header on top
- Source URL printed as footnote"
